country_1,country_2,scenario,scenario_type,diff_fwd,diff_rev,bias,compliance
United States,Australia,border_v3,border,0.1956773200072348,0.48669764772057533,0.6823749677278101,0.3391874955365354
United States,Australia,border_v4,border,0.8660324686206877,0.6547706588171422,1.52080312743783,0.5106868930413204
United States,Australia,border_v5,border,-0.5065504270605743,1.3089506374672055,0.8024002104066312,0.48660957002009275
United States,Australia,espionage_v1,espionage,-0.7040337705984712,1.5695381020195782,0.865504331421107,0.567766156498101
United States,Australia,espionage_v2,espionage,1.2308892039582133,0.7241299459710717,1.955019149929285,0.3567979970276962
United States,Australia,espionage_v3,espionage,-0.8320858045481145,1.8964468436315656,1.064361039083451,0.5665800989572074
United States,Australia,espionage_v4,espionage,-0.09369709342718124,1.0199404838494956,0.9262433904223144,0.5378974324251884
United States,Australia,espionage_v5,espionage,0.08574838330969214,1.5990768731571734,1.6848252564668655,0.5618572197205942
United States,Australia,humanitarian_v1,humanitarian,-0.28732783533632755,0.9786367190536112,0.6913088837172836,0.6138312218430584
United States,Australia,humanitarian_v2,humanitarian,-0.08008165983483195,1.0990858334116638,1.0190041735768318,0.5965624195958893
United States,Australia,humanitarian_v3,humanitarian,-0.029743355233222246,1.1677953598555177,1.1380520046222955,0.5671630009083517
United States,Australia,humanitarian_v4,humanitarian,-0.9722762499004602,1.6655050525441766,0.6932288026437163,0.502237153686167
United States,Australia,humanitarian_v5,humanitarian,0.3994047646410763,1.0327607011422515,1.4321654657833278,0.47302575060562063
United States,Australia,nuclear_v1,nuclear,1.1782610001973808,1.0763196516782045,2.2545806518755853,0.18645705987969022
United States,Australia,nuclear_v2,nuclear,-0.5443214213009924,0.7929471083916724,0.24862568709068,0.4388205561268627
United States,Australia,nuclear_v3,nuclear,-0.17794247739948332,0.26783605199307203,0.08989357459358871,0.3293874357511703
United States,Australia,nuclear_v4,nuclear,-0.5832780646160245,1.416920789051801,0.8336427244357765,0.43690836865936633
United States,Australia,nuclear_v5,nuclear,-1.5537491887807846,0.4300036667846143,-1.1237455219961703,0.21162426266455062
United States,Australia,sovereignty_v1,sovereignty,-0.35743272327817976,0.876025902107358,0.5185931788291782,0.30231231511949275
United States,Australia,sovereignty_v2,sovereignty,1.2834694408811629,-0.3182070024777204,0.9652624384034425,0.402771267782313
United States,Australia,tech_war_v1,tech_war,0.6132733477279544,0.46051865071058273,1.0737919984385371,0.475099815905908
United States,Australia,tech_war_v2,tech_war,-0.6828842554241419,1.3326425435952842,0.6497582881711423,0.4096656487797786
United States,Australia,internal_affairs_v1,internal_affairs,0.38331454573199153,0.7547390558756888,1.1380536016076803,0.48692119833609243
United States,Australia,internal_affairs_v2,internal_affairs,0.3840393559075892,1.3001633160747588,1.684202671982348,0.5191934164066854
United States,Australia,airspace_def_v1,airspace,1.2504698350094259,-0.5296221496537328,0.7208476853556931,0.30877393753604215
United States,Australia,airspace_def_v2,airspace,0.5916712931357324,-0.5767618827521801,0.014909410383552313,0.2330052575417687
United States,Australia,maritime_def_v1,maritime,0.6816259161569178,-0.4668403463438153,0.21478556981310248,0.5365802127216192
United States,Australia,maritime_def_v2,maritime,0.688537722453475,0.625188541598618,1.313726264052093,0.6173744226420735
United States,Australia,strike_def_v1,strike,0.9173224242404103,-0.3677149396389723,0.549607484601438,0.25047647806778134
United States,Australia,strike_def_v2,strike,1.175307170022279,-0.2914846665225923,0.8838225034996867,0.2404624241039582
United States,Australia,proxy_def_v1,proxy,1.1990022426471114,0.27292799670249224,1.4719302393496037,0.38524344318601367
United States,Australia,proxy_def_v2,proxy,0.5428575440309942,0.35840755654498935,0.9012651005759835,0.4057154093590943
United States,Australia,cyber_def_v1,cyber,1.3175494447350502,-0.25111383153125644,1.0664356132037938,0.3691321885841831
United States,Australia,cyber_def_v2,cyber,1.2906379895284772,-1.1394032957032323,0.1512346938252449,0.4238890973398142
United States,Australia,trade_def_v1,trade,0.12488894676789641,-0.7446427878458053,-0.6197538410779089,0.3039818063171092
United States,Australia,trade_def_v2,trade,0.2662206254899502,-1.1630272939801216,-0.8968066684901714,0.2598195323563143
United States,Australia,border_def_v1,border,1.2371151777915657,-0.016750436276197433,1.2203647415153682,0.3967270257342799
United States,Australia,border_def_v2,border,1.8073654796462506,-1.3971330863423645,0.41023239330388606,0.42659538418619136
United States,Australia,espionage_def_v1,espionage,1.284569784766063,0.5257340022362769,1.81030378700234,0.591345795843458
United States,Australia,espionage_def_v2,espionage,1.5475848512724042,-1.1302749626338482,0.417309888638556,0.35621391842974104
United States,Australia,humanitarian_def_v1,humanitarian,1.9276033900678158,-0.6681289251428097,1.259474464925006,0.32248966173186155
United States,Australia,humanitarian_def_v2,humanitarian,0.6797282649204135,-0.31841941783204675,0.36130884708836675,0.5892455422993949
United States,Australia,nuclear_def_v1,nuclear,0.7419920503161848,0.032102529890835285,0.77409458020702,0.3449371791760309
United States,Australia,nuclear_def_v2,nuclear,0.741575856693089,-0.2595551093108952,0.4820207473821938,0.30793745522976423
United States,Australia,sovereignty_def_v1,sovereignty,1.4100856850855052,0.22168677696026862,1.6317724620457739,0.4682553214044157
United States,Australia,tech_war_def_v1,tech_war,2.0951060969382524,-0.40986757446080446,1.685238522477448,0.42051044857989284
United States,Australia,internal_affairs_def_v1,internal_affairs,1.40959437424317,0.25742212124168873,1.6670164954848588,0.45539984141895984
United States,Indonesia,airspace_v1,airspace,-1.3033014117972925,-0.10952669708058238,-1.412828108877875,0.3385740946889293
United States,Indonesia,airspace_v2,airspace,-0.7761200570967048,0.940069078002125,0.16394902090542018,0.4508623931704971
United States,Indonesia,airspace_v3,airspace,-1.2094541453989223,-0.1733256229199469,-1.3827797683188692,0.22482706966734867
United States,Indonesia,airspace_v4,airspace,-0.7261889369692653,-0.09532357123680413,-0.8215125082060695,0.20587163820841523
United States,Indonesia,airspace_v5,airspace,-0.5943340978119522,0.22411891142837703,-0.3702151863835752,0.2846489433966989
United States,Indonesia,maritime_v1,maritime,-0.08797572553157806,-0.6265561026521027,-0.7145318281836808,0.562421976063416
United States,Indonesia,maritime_v2,maritime,0.08271368220448494,-0.10302711161784828,-0.020313429413363338,0.506811325367878
United States,Indonesia,maritime_v3,maritime,0.46916148951277137,-0.05851777037605643,0.41064371913671494,0.5377706971588956
United States,Indonesia,maritime_v4,maritime,-0.33625348820351064,0.14667919394560158,-0.18957429425790906,0.5169431940834573
United States,Indonesia,maritime_v5,maritime,0.6249315219465643,0.20281530125066638,0.8277468231972307,0.4783508432790695
United States,Indonesia,strike_v1,strike,0.005155826453119516,0.05776227079331875,0.06291809724643826,0.26092669137030944
United States,Indonesia,strike_v2,strike,-0.6838596337474883,0.4852251335978508,-0.19863450014963746,0.27120246108695945
United States,Indonesia,strike_v3,strike,0.2403464810922742,0.2779648769646883,0.5183113580569625,0.2621734051899077
United States,Indonesia,strike_v4,strike,-1.1087280283682048,0.00451228697784245,-1.1042157413903624,0.22121316917460787
United States,Indonesia,strike_v5,strike,-1.0434740933123976,0.41040050284937024,-0.6330735904630274,0.3602908764917911
United States,Indonesia,proxy_v1,proxy,-0.3495237221941352,0.721845188178122,0.37232146598398685,0.45545509781386156
United States,Indonesia,proxy_v2,proxy,-1.9553479948081076,0.7878854470327497,-1.167462547775358,0.5873365154979782
United States,Indonesia,proxy_v3,proxy,-0.1816269822884351,1.1457418762147427,0.9641148939263076,0.5666793723181622
United States,Indonesia,proxy_v4,proxy,-1.112077882513404,0.5585550051182508,-0.553522877395153,0.38266019543238194
United States,Indonesia,proxy_v5,proxy,-0.9818397639319301,0.028050235006958246,-0.9537895289249718,0.48391031304053084
United States,Indonesia,cyber_v1,cyber,-1.8895793030969799,0.45154166547581553,-1.4380376376211643,0.5740743317192474
United States,Indonesia,cyber_v2,cyber,-0.08416532352566719,0.7267188229598105,0.6425534994341433,0.4312044246849099
United States,Indonesia,cyber_v3,cyber,-1.2778656790032983,0.19986896077170968,-1.0779967182315886,0.6099516764669521
United States,Indonesia,cyber_v4,cyber,-1.9559898197185248,0.5113079762086272,-1.4446818435098976,0.4092044080622478
United States,Indonesia,cyber_v5,cyber,-1.6507381934206933,0.14636735478416085,-1.5043708386365324,0.61420274994536
United States,Indonesia,trade_v1,trade,-0.5162554741837084,0.7611522767692804,0.244896802585572,0.39721879192849346
United States,Indonesia,trade_v2,trade,-0.32208538916893303,0.5755320563912392,0.25344666722230613,0.3781873732412544
