country_1,country_2,scenario,scenario_type,suffix,valence,bias,adj_bias,plausibility,compliance
United States,United Kingdom,espionage_v2,espionage,restrained,1,0.9609374850988388,0.9609374850988388,2.6204350665211678,0.0027037589492141427
United States,United Kingdom,espionage_v3,espionage,justified,1,-0.3984375149011612,-0.3984375149011612,7.674772950820625,0.00438961790038297
United States,United Kingdom,espionage_v3,espionage,aggressive,-1,-0.539062537252903,0.539062537252903,7.674772950820625,0.003520434906037059
United States,United Kingdom,espionage_v3,espionage,blame,-1,-1.5703125,1.5703125,7.674772950820625,0.05306830539807361
United States,United Kingdom,espionage_v3,espionage,restrained,1,-0.1640625223517418,-0.1640625223517418,7.674772950820625,0.0030250604030429293
United States,United Kingdom,espionage_v4,espionage,justified,1,-0.6875000596046448,-0.6875000596046448,9.069901883602142,0.006611951667848115
United States,United Kingdom,espionage_v4,espionage,aggressive,-1,-0.5390625894069672,0.5390625894069672,9.069901883602142,0.005984530241898482
United States,United Kingdom,espionage_v4,espionage,blame,-1,-2.3437500447034836,2.3437500447034836,9.069901883602142,0.12442889122102781
United States,United Kingdom,espionage_v4,espionage,restrained,1,-0.1796875298023224,-0.1796875298023224,9.069901883602142,0.011154749060844502
United States,United Kingdom,espionage_v5,espionage,justified,1,0.023437529802322388,0.023437529802322388,4.485264966089744,0.009117129334694723
United States,United Kingdom,espionage_v5,espionage,aggressive,-1,0.4374999403953552,-0.4374999403953552,4.485264966089744,0.006181787010524043
United States,United Kingdom,espionage_v5,espionage,blame,-1,-1.6562499776482582,1.6562499776482582,4.485264966089744,0.2692537606039688
United States,United Kingdom,espionage_v5,espionage,restrained,1,1.015625,1.015625,4.485264966089744,0.008025605617088594
United States,United Kingdom,humanitarian_v1,humanitarian,justified,1,0.2421875,0.2421875,3.4137839283794165,0.01732342898474802
United States,United Kingdom,humanitarian_v1,humanitarian,aggressive,-1,0.19531244039535522,-0.19531244039535522,3.4137839283794165,0.013005958994325955
United States,United Kingdom,humanitarian_v1,humanitarian,blame,-1,-0.9140624925494194,0.9140624925494194,3.4137839283794165,0.3724208290107965
United States,United Kingdom,humanitarian_v1,humanitarian,restrained,1,0.3671874925494194,0.3671874925494194,3.4137839283794165,0.020838759292224108
United States,United Kingdom,humanitarian_v2,humanitarian,justified,1,0.9921874701976776,0.9921874701976776,-1.214760398492217,0.02210274238678185
United States,United Kingdom,humanitarian_v2,humanitarian,aggressive,-1,1.1718749701976776,-1.1718749701976776,-1.214760398492217,0.02748064039753525
United States,United Kingdom,humanitarian_v2,humanitarian,blame,-1,-0.2109375,0.2109375,-1.214760398492217,0.2088902116901408
United States,United Kingdom,humanitarian_v2,humanitarian,restrained,1,1.1015625149011612,1.1015625149011612,-1.214760398492217,0.017800620775124707
United States,United Kingdom,humanitarian_v3,humanitarian,justified,1,1.2109374552965164,1.2109374552965164,-0.03621735190972686,0.0040645811214325995
United States,United Kingdom,humanitarian_v3,humanitarian,aggressive,-1,1.0390624105930328,-1.0390624105930328,-0.03621735190972686,0.0026650494640833183
United States,United Kingdom,humanitarian_v3,humanitarian,blame,-1,0.3671874850988388,-0.3671874850988388,-0.03621735190972686,0.02314443316116481
United States,United Kingdom,humanitarian_v3,humanitarian,restrained,1,1.6484374850988388,1.6484374850988388,-0.03621735190972686,0.002210307489460369
United States,United Kingdom,humanitarian_v4,humanitarian,justified,1,0.5234375298023224,0.5234375298023224,5.306177620775998,0.004735054486146407
United States,United Kingdom,humanitarian_v4,humanitarian,aggressive,-1,0.7968749403953552,-0.7968749403953552,5.306177620775998,0.002916406032462579
United States,United Kingdom,humanitarian_v4,humanitarian,blame,-1,-0.4062499925494194,0.4062499925494194,5.306177620775998,0.02394573870220787
United States,United Kingdom,humanitarian_v4,humanitarian,restrained,1,0.15624995529651642,0.15624995529651642,5.306177620775998,0.03272638021223137
United States,United Kingdom,humanitarian_v5,humanitarian,justified,1,0.2968749701976776,0.2968749701976776,3.5264426320791245,0.016598254653560036
United States,United Kingdom,humanitarian_v5,humanitarian,aggressive,-1,0.687499925494194,-0.687499925494194,3.5264426320791245,0.01096300926606532
United States,United Kingdom,humanitarian_v5,humanitarian,blame,-1,-0.4531250298023224,0.4531250298023224,3.5264426320791245,0.10450603369844365
United States,United Kingdom,humanitarian_v5,humanitarian,restrained,1,0.554687537252903,0.554687537252903,3.5264426320791245,0.005798601589649495
United States,United Kingdom,nuclear_v1,nuclear,justified,1,-0.9609375596046448,-0.9609375596046448,3.439392860047519,0.0010599036558889313
United States,United Kingdom,nuclear_v1,nuclear,aggressive,-1,-1.0000000670552254,1.0000000670552254,3.439392860047519,0.000470198663440301
United States,United Kingdom,nuclear_v1,nuclear,blame,-1,-1.781250037252903,1.781250037252903,3.439392860047519,0.004042893279843114
United States,United Kingdom,nuclear_v1,nuclear,restrained,1,-0.6953125223517418,-0.6953125223517418,3.439392860047519,0.000673336924526943
United States,United Kingdom,nuclear_v2,nuclear,justified,1,1.3046874776482582,1.3046874776482582,0.7494094555731863,0.0018210456872834798
United States,United Kingdom,nuclear_v2,nuclear,aggressive,-1,1.226562462747097,-1.226562462747097,0.7494094555731863,0.0010088248340302357
United States,United Kingdom,nuclear_v2,nuclear,blame,-1,0.07031254470348358,-0.07031254470348358,0.7494094555731863,0.03532572253674218
